x(mm)	IX (G.m)	IZ (G.m)  z(mm)
-80	0.416507	0.420314       1
-79	0.403851	0.424463       1
-78	0.398519	0.4321         0
-77	0.390415	0.437999       3 
-76	0.37476	0.440211           4 
-75	0.361757	0.443953
-74	0.343031	0.449225
-73	0.334348	0.455082
-72	0.312354	0.45463
-71	0.287218	0.455247
-70	0.265116	0.457562
-69	0.238319	0.460312
-68	0.217222	0.462226
-67	0.180609	0.460585
-66	0.142013	0.45901
-65	0.0986133	0.455864
-64	0.0621142	0.452957
-63	0.0222993	0.446549
-62	-0.0334905	0.43612
-61	-0.0880019	0.426205
-60	-0.148965	0.419929
-59	-0.19755	0.409339
-58	-0.264267	0.400123
-57	-0.333535	0.382896
-56	-0.40601	0.375066
-55	-0.480434	0.362791
-54	-0.549558	0.349387
-53	-0.634663	0.333217
-52	-0.72091	0.319748
-51	-0.804163	0.310944
-50	-0.875629	0.299918
-49	-0.951582	0.291079
-48	-1.0213	0.282693
-47	-1.08212	0.279338
-46	-1.12742	0.278253
-45	-1.14726	0.27994
-44	-1.14511	0.27481
-43	-1.12588	0.262141
-42	-1.06666	0.242016
-41	-0.978452	0.211019
-40	-0.865638	0.157122
-39	-0.724268	0.0812165
-38	-0.597904	-0.0235921
-37	-0.435427	-0.142637
-36	-0.303066	-0.272059
-35	-0.156509	-0.408895
-34	-0.0663198	-0.558379
-33	0.000427032	-0.704021
-32	0.00397283	-0.835994
-31	-0.0882836	-0.941627
-30	-0.296362	-1.00386
-29	-0.614174	-1.00771
-28	-0.897371	-0.920352
-27	-0.982076	-0.752811
-26	-0.786185	-0.549567
-25	-0.410046	-0.3624
-24	-0.0375284	-0.240417
-23	0.229689	-0.198482
-22	0.375289	-0.212501
-21	0.385143	-0.265723
-20	0.30088	-0.334083
-19	0.157055	-0.385531
-18	0.021599	-0.40001
-17	-0.0888966	-0.372222
-16	-0.133401	-0.314455
-15	-0.126546	-0.240439
-14	-0.0554016	-0.158023
-13	0.0651788	-0.0776204
-12	0.235441	-0.00119659
-11	0.460701	0.0618988
-10	0.733211	0.100871
-9	1.01498	0.105987
-8	1.22106	0.0650539
-7	1.28708	-0.0137431
-6	1.14352	-0.129777
-5	0.862801	-0.255328
-4	0.525076	-0.36534
-3	0.289147	-0.441574
-2	0.285315	-0.493972
-1	0.485914	-0.539026
0	0.802453	-0.568656
1	1.02986	-0.616358
2	1.04585	-0.672184
3	0.796584	-0.757804
4	0.32545	-0.845395
5	-0.203042	-0.891459
6	-0.686513	-0.879491
7	-1.02491	-0.814878
8	-1.18947	-0.704348
9	-1.17234	-0.563887
10	-1.00842	-0.408753
11	-0.760989	-0.261458
12	-0.461559	-0.132515
13	-0.193344	-0.0418428
14	0.0602634	0.0263068
15	0.224933	0.0622497
16	0.285001	0.0715596
17	0.196222	0.0683478
18	-0.00579279	0.0708412
19	-0.288811	0.112549
20	-0.61381	0.180735
21	-0.915181	0.288606
22	-1.12633	0.417704
23	-1.14284	0.561648
24	-0.917902	0.668744
25	-0.446116	0.689315
26	0.106912	0.560006
27	0.547948	0.277836
28	0.775251	-0.112066
29	0.828275	-0.565873
30	0.874453	-1.02556
31	0.947389	-1.48584
32	1.09944	-1.91281
33	1.28074	-2.31597
34	1.47715	-2.70438
35	1.64411	-3.08781
36	1.81252	-3.44368
37	1.97544	-3.72863
38	2.13313	-3.9606
39	2.25431	-4.14667
40	2.33631	-4.30393
41	2.36417	-4.39205
42	2.32756	-4.39696
43	2.18575	-4.35453
44	1.9428	-4.27829
45	1.61713	-4.15517
46	1.25152	-3.95386
47	0.86726	-3.6954
48	0.510412	-3.42316
49	0.204823	-3.14143
50	-0.0203707	-2.84115
51	-0.173086	-2.52573
52	-0.264763	-2.22771
53	-0.317637	-1.96772
54	-0.327408	-1.72341
55	-0.30383	-1.48601
56	-0.268119	-1.25955
57	-0.223549	-1.0703
58	-0.183763	-0.90182
59	-0.13338	-0.740689
60	-0.080081	-0.588984
61	-0.036048	-0.460131
62	0.00308014	-0.351118
63	0.0386297	-0.249316
64	0.0722318	-0.153835
65	0.099537	-0.0685694
66	0.11907	-3.75E-05
67	0.133883	0.0590314
68	0.152472	0.118566
69	0.170625	0.17411
70	0.186746	0.214779
71	0.196123	0.249258
72	0.203349	0.284185
73	0.212236	0.316281
74	0.216218	0.340167
75	0.222512	0.358839
76	0.228196	0.374828
77	0.236916	0.394402
78	0.236949	0.407051
79	0.238619	0.415232
80	0.235426	0.422128
