index    name    stat  avail  ifit     ref        des          abs       act         fit       weight
  1    BPMx001     1     1     1      0.000      0.000        0.000     -6.424      6.420      1.000
  2    BPMx002     2     2     2      0.000      0.000        0.000      7.589     -7.579      1.000
  3    BPMx003     3     3     3      0.000      0.000        0.000      3.428     -3.466      1.000
  4    BPMx004     4     4     4      0.000      0.000        0.000     -3.354      3.316      1.000
  5    BPMx005     5     5     5      0.000      0.000        0.000     -5.270      5.280      1.000
  6    BPMx006     6     6     6      0.000      0.000        0.000      6.475     -6.479      1.000
  7    BPMx007     7     7     7      0.000      0.000        0.000      3.007     -3.012      1.000
  8    BPMx008     8     8     8      0.000      0.000        0.000     -8.843      8.853      1.000
  9    BPMx009     9     9     9      0.000      0.000        0.000     -2.887      2.849      1.000
 10    BPMx010    10    10    10      0.000      0.000        0.000      2.962     -3.000      1.000
 11    BPMx011    11    11    11      0.000      0.000        0.000      6.634     -6.624      1.000
 12    BPMx012    12    12    12      0.000      0.000        0.000     -5.945      5.941      1.000
