index   name     stat  avail ifit      act        fit       weight
  1    HCOR001     1     1     1      0.000      0.000      1.000
  2    HCOR002     2     2     2      0.000      0.000      1.000
  3    HCOR003     3     3     3      0.000      0.000      1.000
  4    HCOR004     4     4     4      0.000      0.000      1.000
  5    HCOR005     5     5     5      0.000      0.000      1.000
  6    HCOR006     6     6     6      0.000      0.000      1.000
  7    HCOR007     7     7     7      0.000      0.000      1.000
  8    HCOR008     8     8     8      0.000      0.000      1.000
  9    HCOR009     9     9     9      0.000      0.000      1.000
 10    HCOR010    10    10    10      0.000      0.000      1.000
 11    HCOR011    11    11    11      0.000      0.000      1.000
 12    HCOR012    12    12    12      0.000      0.000      1.000
