 index   name  length   s     betx   alfx   phixetax   etaxp  betz   alfz   phiz   etaz   etazp    x      xp     z      zp
   1    DEBUT   0.00   0.00   4.77   0.01   0.00 -6185.73 -323.74  -2.37  -0.50   0.50 -231.07 -188.49  -0.01  -0.00  -0.00  -0.00
   2       RF   0.00   0.00   4.77   0.01   0.00 -6185.73 -323.74  -2.37  -0.50   0.50 -231.07 -188.49  -0.01  -0.00  -0.00  -0.00
   3     SD5B   0.74   0.00   4.77   0.01   0.00 -6185.73 -323.74  -2.37  -0.50   0.50 -231.07 -188.49  -0.01  -0.00  -0.00  -0.00
   4     BPMx   0.00   0.74   4.87  -0.14   0.02 -6425.30 -323.74  -1.93  -0.11   0.44 -370.55 -188.49  -0.01  -0.00  -0.00  -0.00
   5     BPMz   0.00   0.74   4.87  -0.14   0.02 -6425.30 -323.74  -1.93  -0.11   0.44 -370.55 -188.49  -0.01  -0.00  -0.00  -0.00
   6      SD5   0.06   0.74   4.87  -0.14   0.02 -6425.30 -323.74  -1.93  -0.11   0.44 -370.55 -188.49  -0.01  -0.00  -0.00  -0.00
   7      QP1   0.15   0.80   4.89  -0.16   0.03 -6444.73 -323.74  -1.91  -0.08   0.44 -381.86 -188.49  -0.01  -0.00  -0.00  -0.00
   8      SD2   0.21   0.95   5.46  -3.78   0.03 -6822.84 -4760.48  -1.72  -1.20   0.43 -389.67  85.20  -0.01  -0.00  -0.00   0.00
   9      QP2   0.15   1.16   7.17  -4.36   0.04 -7822.54 -4760.48  -1.27  -0.90   0.40 -371.78  85.20  -0.01  -0.00  -0.00   0.00
  10     SD31   0.75   1.31   6.97   5.61   0.04 -7699.26 6375.58  -1.28   0.97   0.38 -391.30 -349.98  -0.01   0.01  -0.00  -0.00
  11     BEND   0.28   2.06   1.16   2.10   0.08 -2893.67 6375.58  -3.60   2.10   0.33 -655.10 -349.98  -0.00   0.01  -0.00  -0.00
  12    SD3S2   0.12   2.34   0.13   0.83   0.19 -459.14 10321.81  -5.14   3.65   0.32 -772.21 -510.41  -0.00   0.01  -0.00  -0.00
  13      SX1   0.00   2.47   0.12  -0.79   0.41  831.08 10321.81  -6.10   3.99   0.31 -836.01 -510.41   0.00   0.01  -0.00  -0.00
  14     HCOR   0.00   2.47   0.12  -0.79   0.41  831.09 10321.76  -6.10   3.93   0.31 -836.01 -501.79   0.00   0.01  -0.00  -0.00
  15     VCOR   0.00   2.47   0.12  -0.79   0.41  831.10 8984.62  -6.10   3.93   0.31 -836.01 -501.79   0.00   0.01  -0.00  -0.00
  16     SD3S   0.07   2.47   0.12  -0.79   0.41  831.11 8984.62  -6.10   3.93   0.31 -836.01 -501.79   0.00   0.01  -0.00  -0.00
  17     QP31   0.15   2.54   0.32  -1.77   0.47  1504.95 8984.62  -6.70   4.13   0.31 -873.65 -501.79   0.00   0.01  -0.00  -0.00
  18     SD3S   0.07   2.69   1.36  -5.82   0.51  3123.17 13077.10  -6.12  -7.62   0.31 -829.73  1074.12   0.00   0.01  -0.00   0.00
  19      SX3   0.00   2.77   2.38  -7.74   0.52  4103.95 13077.10  -5.04  -6.90   0.31 -749.17  1074.12   0.00   0.01  -0.00   0.00
  20     HCOR   0.00   2.77   2.38  -7.80   0.52  4103.96 13127.82  -5.03  -7.02   0.31 -749.17  1093.27   0.00   0.01  -0.00   0.00
  21     VCOR   0.00   2.77   2.38  -7.80   0.52  4103.98 13268.52  -5.03  -7.02   0.31 -749.16  1093.27   0.00   0.01  -0.00   0.00
  22    SD3S1   0.14   2.77   2.38  -7.80   0.52  4103.99 13268.52  -5.03  -7.02   0.31 -749.16  1093.27   0.00   0.01  -0.00   0.00
  23     QP41   0.15   2.90   4.96 -11.30   0.52  5895.24 13268.52  -3.32  -5.67   0.30 -601.57  1093.27   0.01   0.01  -0.00   0.00
  24   SD1S1B   0.06   3.05   7.57  -4.99   0.53  7259.03 4620.46  -2.32  -1.45   0.29 -491.54  397.50   0.01   0.00  -0.00   0.00
  25     BPMx   0.00   3.11   8.18  -5.20   0.53  7536.26 4620.46  -2.15  -1.37   0.29 -467.69  397.50   0.01   0.00  -0.00   0.00
  26     BPMz   0.00   3.11   8.18  -5.20   0.53  7536.26 4620.46  -2.15  -1.37   0.29 -467.69  397.50   0.01   0.00  -0.00   0.00
  27    SD1S1   0.19   3.11   8.18  -5.20   0.53  7536.26 4620.46  -2.15  -1.37   0.29 -467.69  397.50   0.01   0.00  -0.00   0.00
